,name,bio
118,sukhanova_lena17,"@nutriciolog_38 моя вторая страница, консультации по витаминам, анализам
💗радуюсь и наслаждаюсь каждым мгновениям в жизни, я счастлива😊🙏🌞"
119,baikalnerpa2008,
120,mogloevatuiana,
121,labailya2020,
122,polinapotapova,"(Taylor’s version)
🇷🇺🇬🇧🇮🇹
SPBU - Conflict management 🎓
GSOM - Master in Management💎"
123,tetushka_polly,"Полина. 
Психология и жизнь."
124,tokarevolegs,
125,svetikarpovskaya,https://vk.com/karpovskayas
126,greenbag.irk,"🌱Экологично и практично🌱
🎍ZERO WASTE🎋
♻️ Бытовая НЕхимия на розлив♻️
🏡 Для дома и души💚
🚲 Доставка🚲
🌏 Иркутск, ул. Депутатская,51"
127,ulanovamsk,
128,gankinadetidobro,"🧒👶Уполномоченный по правам ребёнка 👫Республики Бурятия 
Мама двух замечательных 👧👧
Люблю 🐶🐕🐕‍🦺, но домашний питомец 🐈
Читаю 📚, люблю 🌸🌹🌺💐"
129,denis_polishchuk._,
130,anzhelamaniakova,"*мама Елизаветы*
*Гостиничные услуги*
*Розничная торговля*
+79021622379"
131,oh.yuna,"Moscow
MGIMO, International Relations
🇷🇺🇬🇧🇫🇮🇨🇳 
#diplomatka"
132,skitalce,"🙋🏽‍♂️посланик на българо-тексасо-сибирската дружба.
💬 бургас на три морета!
🏴 @leftistarchive"
133,makazone,"Software Engineer, digital nomad, speaker. Find me on telegram https://t.me/makazone or Facebook"
134,darimakondratyeva_agm,
135,jeanpaul_valeron,Простота и элегантность
136,siberianwealth,"❄️Universiade2019 partner
🏞️Lake Baikal saver
💯Innovative unique
🌿willd Siberian herbs products
🥇Modern network business, join
⬇️More interesting"
137,olgachuprova_olgig,"💛 Главные ценности в жизни: семья, гармония и здоровье.
🌟 Бизнес в компании ""Параллель"" 
                          ☟"
138,a.shaydurova,
139,vika_weiduoliya,"Гид по Байкалу #中文导游
Семья #тиншанчики
Корейская косметика на заказ @gemmakorea.irk"
140,allaan_rousu,"ТУРЦИЯ НАИЗНАНКУ🇹🇷🇷🇺
Нетривиальный блог для тех, кто хочет стать здесь своим в доску
Внутренняя жизнь/Тренды/Юмор.
Turkiye'nin içi dışı"
141,totonchch,Просто показываю. Красивое...
142,vladaa__19,"Здесь и сейчас 
📌 Студентка ЭФ НГУ
📌 Координатор Case Club NSU
📌 Фрилансер"
143,yuki0r,
144,ladissociation,
145,yaamnaanaa,
146,valentin_kvv_a,😀
147,_mine_reed_,
148,gulnara.kuznetsova_love,"🟢 Бизнеследи #СДЭК
💑Жена бизнесмена и айронмена #запискиженытриатлета_КГ  
👨‍👩‍👧‍👦Мама двух деток #Лисичка_и_Максим"
149,anton_baikal_gid,"⚓ Сын Байкала⚓ 
⛵ Уникальные туры и экскурсии по Байкалу ⛵
🚢Отдых на Байкале зимой и летом🚙
📞8 (924) 555-45-95  WhatsUp 8 (950) 064-05-16"
150,terentevp,"Moscow/Cheboksary
Biotechnologist 🔬
Engineer IVD 🛠 in @firma.galen
Music editor 📣 in @sadwave_official
Founder ♻️ of @greensolutions.one"
151,elena.muratova.msu,"Счастливая 💃🏻
Кфмн, ст.н.с., Эксперт on-line курсов, МГУ💝
Основатель @smla_fond 🤝 fondsmla.ru
Основатель @math__workshop 
Лидер  @clubflamingo_moscow🦩"
152,guide_on_lake_baikal,"Показываю Байкал с душой😇😎😊
Экскурсии, съёмка с квадрокоптера✌️
Рыбалка и мобильная Баня🔥
Организую индивидуальные и групповые туры
89501293329"
153,n.golovin_,
154,margo_nets,"Alter homo
Координатор @starostvradost_irk
Организатор #книговоротиркутск
Чтец @2girls_read"
155,nastya_ecolife,"| lifestyle |
☕️ Рекомендую любимые места для кофепития в хайлайтс «Кофейни»
☀️ Еще здесь есть творчество, путешествия и кот :)"
156,abzaevamariya,Счастливая 💚
157,anastasiastonis,"🙋 Анастасия Никольская-Стонис #МСК
🎬 Продюсер фото видео ТАСС
📸 Есть интересная фото-видео новость?
📩https://wa.me/79153679490"
158,elena.natalina.konsult,"Работала в найме 27 лет, ушла с должности директора, сама себе хозяйка, консультации о заработке в сети интернет💸"
159,tjnyani,
160,lysanovalexander,
161,yourdasie,"иногда андреевна
⠀
💡верю в науку и Ахматову
📎marketing & economic sociology
📎coordinator @case.club.nsu 
📎EF NSU"
162,miss_sofyaz_dip,"Учиться ради любви 
🖋️📘International relations _ student 
Russia 🇷🇺 / Тurkey 🇹🇷"
163,baikal_club_hostel,"Хостел для тебя и твоих друзей
ДОСТУПНО.АТМОСФЕРНО.ВЕСЕЛО
⠀
🗺микрорайон лесной,5,п.Гремячинск
⠀
📩по сотрудничеству:@ilya_krasnopeev
⠀
БРОНЬ ПО ССЫЛКЕ:"
164,serious1alice,"Мной быть легко и приятно, насколько вообще это возможно✨
Путешествую, рисую и учусь новому✍️
Преподаю нетошнотные 🇬🇧🇯🇵🇷🇺, но об этом тссс😬"
165,orosszz,"📍Moscow, Russia 
📕MGIMO’21"
166,veganftk,#veganftk
167,blagorodnaya88,"Астролог, Таролог, Психолог
🎯Решаю любые ситуации
🌗 Всё про Ваше прошлое, настоящее и будущее.
🏹 За подписку 300р подарок при обращении @eva_astro"
168,asher217,Saved by Christ.
169,archibasova_tanya,"🥗Помогаю похудеть с помощью правильного питания. 
💯Снизить вес раз и навсегда.
🙌Твой помощник к Фигуре Мечты.
📝Запишись на личную консультацию👇"
170,mariia_zamaldinova,
171,emamchits_sw,"📌Мама 8 👼
📌Люблю 🏞️и отдых 🚣
📌Развитие с Siberian Wellness 🎯
📌Пользуюсь эко-продуктом ❄️
📌Ко мне в команду 👇"
172,vistr_yoga,"Мама двух деток 👦  и 👧 
Вдохновляет #ольгасокол108 
@olgasokol_yogasadhana"
173,oleg_sintsov,"Гос.инспектор в области охраны окружающей среды заповедника ""Керженский"",  руководитель волонтерского эколого-просветительского клуба."
174,mmiirroonnoovvaa,ཨོཾ་མ་ཎི་པ་དྨེ་ཧཱུྃ།
175,baikalglobus,"#устьбаргузин #чивыркуйскийзалив #баргузинскийзалив#отдых #нерпа#юрты#путешествие
Контакты
89240177117 viber,watsapp,telegram"
176,miniiuulen,"💎Основательница концептуального бренда одежды @monzo_brand 🧬
💎Развиваю систему счастливой жизни🌕
💎Здесь все о жизни, любви, осознанности и развитии🙏🏻"
177,zakatovalyubov,🏔Изучаю реальность. ☎️89026484805
178,gunbina_olya,"Позитивный человек😃
Люблю движуху и эту планету🌐🌲🌳
👋Подпишись - отвечу взаимностью
@ntagil_sw 
https://clck.ru/XmQkh"
179,bezborod.ova,"🌬Anna🌪 
📍Moscow/Tula
🌐MGIMO student"
180,ziza_che,
181,avo.ofliyan,"Higher School of Economics
World Economy & International Affairs 🇫🇷🇬🇧"
182,tatianak2308,"🌲ЭКО Продукт
Образ жизни с Siberian Wellness
💃Бизнес по женски с удовольствием🏝✈"
183,prostoburiati,Dum spiro spero
184,michal.silesia,
185,shishlova_sw,"Шишлова Наталья
Помогу построить международный бизнес 💰
Научу жить без лекарств🌿
Оставаться молодой всегда🌸
Пиши 👇"
186,tvodaskina_sw,"🌿Попробуй  Сибирь на вкус! 
🌲Начни жизнь с витаминами! 
🍵Открой для себя Эко -продукты
      пиши https://wa.me/79293279037"
187,galinabaikalina,"Красота это здоровье 
Путешествия и свободный стиль жизни"
188,angelikastoyn,#russia #sochi #moscow #diveevo #arzamas #семья #любовь #солнце #море #вера
189,kazancevaelena_sibir,"Партнер Siberian Wellness
Живу в стиле SW"
190,tatyana_gol_sw,"🌱Здоровье Красота Доход
Эксперт в области сохранения здоровья
Научу быть красивой без иньекций
Научу зарабатывать в первый месяц от10 до15 тыс. руб."
191,viki.zoltoeva,
192,_retrus_,"ООО «РЕТРУС» оказывает услуги в области соблюдения требований санитарного и природоохранного законодательства предприятиями, организациями.
Контакты:"
193,jolka_kz,
194,ilyasiberian,
195,sergey999.9,"Рабочий аккаунт @potolok_nash
#сервертянетпотолки"
196,pdb_fm,"Journalist/Tutor/Volunteer
@mgimocharity coordinator
🇷🇺🇧🇷 🇵🇹🇮🇹
project about travelling:"
197,lubov_mir18,"ЛЮБОВЬ МИРНАЯ - ВТ1000
Магазин SIBERIAN WELLNESS❄️Сибирское здоровье 🍏
Ссылка на электронный каталог ассортимента компании👇"
198,olgakazanzewa,"❄️Ольга Казанцева
✨Бизнес мама
🛡️Здоровье без лекарств
💎Красота без уколов
🌏за Экологию
Путешествую🗻 обучаюсь📕 развиваясь💱"
199,malina.designn,Мысли – начало поступков
200,whiskeysson,Co-Founder at @xmarketix
201,irina_kurtovic_,"#SiberianWellness
#meinegesundheitsvorsorge
#naturalvitamins 
#naturkosmetik
#odenwald
#erbach
#russischdeutsch"
202,selen.arctos,"✨Иллюстрации на заказ
✨Напишу сказку про тебя
✨Ведьмы, шаманы, царевны, медведи
✨Море, лес и горы 
✉️ Сотрудничество в директ"
203,h0w2r0ll,秘鲨
204,nastya_helps_cats,"Я - Настя, помогаю животным. Вдохновил меня на это мой герой - кот @budni_kuti_berezkina 
Карта сбора для помощи кошкам - 427655OO39O43354 Спасибо!"
205,evchuk9244,...
206,valentina_prosperity,
207,kaleido.elena,"Меняю жизнь через спорт  💪 хороший настрой, здоровый образ жизни. ИММУНИТЕТ НА ПОЗИТИВЕ ⤵"
208,igg.nyc,
209,vera_maslo,"Love 🍟.
СEO and co-founder @science_me_edu
Science | Art | People management"
210,faniya_sw_kazan,"✨Представитель Брэнда Корпорации Siberian Wellness
✨Активный пользователь продукции Siberians Wellness"
211,albertgralin,Раз два Раз два Раз два Раз два Раз два Раз два Раз два Раз два Раз два
212,md.zoloto,"Движушная, вечно молодая, бугалтерша на всю голову"
213,akarlykhanovnv,"𝐚𝐜𝐭𝐢𝐯𝐢𝐬𝐭
Кандидат в Президенты ""Школьного Актива Города"" 
📍Нижневартовск"
214,nadzhiiya,Помогатор Нумерологический - примените мудрость нумерологии для разных сфер Вашего бытия.
215,erdem_buryad,"ᠪᠤᠷᠢᠶᠠᠳ   Nosce te ipsum 
Блуждающий осколок Вселенной 
ॐ मणि पद्मे हूँ ॐ तारे तुत्तारे तुरे स्व"
216,irina_shitowa,"🔝Предприниматель
🔝Интересы: 🎨энергопсихология 🌍🌈, 🪐творчество 🎭, 🚘🛳🛫путешествия/туризм!🛸
⏳Член ИРО """"СЖР"""
217,svetlanakorenkova,"✨TEACHER of
Hatha☀️🌕
Aerial Yoga & Stretching🦋
SUP🏄‍♀Surf 
SUP Yoga 🕉& Fitness💪
Freediver🧜🏼‍♀
☀️ @studiosvetic
УНИКАЛЬНЫЕ йога-туры↙️
@sun_yoga_tour"
218,fedor_fnc,"Океанолог🌊🌊🌊Oceanologist
Путешествую и работаю на корабле. 🚢Work and travel aboard research vessels"
219,zumotoys,"Основа для творчества - каждому ребёнку и не только 
🌳Дерево + 🧲магниты 
🧸Запатентованная технология   
📫 Принимаем заказы в Директ"
220,axel.kaa,
221,tanuta_,
222,gostinitsa_arshan,"Мы на озере Байкал!
*Arshan* Hotel on Baikal!
Тел   +7 (902) 545 24 05   Слюдянка Ул 40-лет Октября, 11 Все фото делаем сами!😊"
223,ajax_ka.7,"Человек, у которого нет мечты, будет работать на того, у кого она есть !"
224,laulau_lmn,🌊⛵❄️🧭
225,ninatimokhina,"Siberian Wellness--настоящая природа, настоящая наука для людей.  Красота. Здоровье. Бизнес."
226,ah_alena,"Устойчиво развиваюсь в сфере экологического просвещения в бюро @sustainable.ru, а тут путешествую"
227,andrey270292,"консультант #siberianwellness
 #сибирскоездоровье"
228,lubov_slobodkina,"▫️Эко-продукция 
▫️Приглашаю в мир красоты и здоровья 
▫️💸Показываю выгоды пользования SW
Получи бонусную карту
👇👇👇"
229,baziliktrava,🦄
230,asklepii67,
231,baikalekoservis,
232,betznatalia,Наталья
233,buliash,"Sustainable designer and engineer
Founder @zerowaste.lab"
234,eco.sophia,"🍀Практически полностью избавилась от бытовой химии в своем доме и своей жизни.
💰Нашла альтернативный вид заработка, не изменяя своей любимой работе"
235,chistaya.orda,"🌏  Мечта #чистаяустьорда
🗑️  Очищаем священную землю от мусора
👨‍👨‍👧‍👦  Волонтерские субботники
💚  Вижу не только мусор, Вижу как прекрасен Мир"
236,schkitina.a,
237,les______les,@les________les
238,xenia_arsenicum,
239,danilka,
240,vladimir_sapr,Инвестиции
241,k.tm_i,"📍MGIMO
📍Italian Club 
📍Percino Bolgario"
242,katusha.shelkova,
243,katyadanna,"Cognitive neuroscientist📍London dweller, UCL, BBK 🇬🇧"
244,your_bloody_face,
245,english.irk,Учитель английского языка. Не равнодушна ко всему что относится к понятию ПРИРОДА
246,pobedap,"MSU’21 EF 🎓 
Bocconi’23 EMIT
dancer ✨
Russia, Moscow 🇷🇺"
247,nastya_708_,
248,olesia.8076,
249,elenaadyshova,#Сибирское здоровье #Siberian Wellness #здоровье#красота#уход за домом.# продукцияэко# полюбитьсебя
250,sibwellness_kz,Знаю как изменить свою жизнь вместе с SW (Сибирское здоровье)
251,elena_efanova26,
252,rozitacoi,"👪Счастливая жена, мама и бабушка        
🍀Живу в стиле ЭКО
 👉Делюсь секретами  красоты, здоровья и процветания 
🎁 Загляни в мой эко-магазин👇"
253,galina_popatenko,Приглашаю в команду Siberian Wellness 🍀🍀🍀🌎
254,vitaly.drozdov,"Депутат Законодательного собрания края
                           «Возможно все, на невозможное просто требуется больше времени»
 Написать мне"
255,captainarctika,"Рассказы о Сибири.
Гид: Сибирь, Казахстан, Монголия.
Guide: Altai, Baikal, Tyva, Khakasia, Kamchatka, Kazakhstan, West Mongolia
En: sibexpeditions.com"
256,innokentii.kopylov,
257,lena_bandolena,"#любовькжизни #природа #биология #экология #репетиторпобиологии #nature #biology #ecology #science
Irkutsk, Moscow, Santiago"
258,anna_olegovna_kuzmich,
259,sanchez_ski,"C'est La Vie
🤔 порочен, тактичен, эгоистичен
🧩 рисую на обоях
🪐 пускаю кольца дыма
🎭 читаю по губам"
260,veronicahelp,"Помошникова Вероника🦠🌺🧬💮🧫🐙🌸💫🔬🌃🧪
she/her 17 y.o. 🇷🇺
plants lover
олимпиадная тусовка🌿💫✌️😎💫"
261,shiryaeval,"Предприниматель🌏
Найди Цель, ресурсы найдутся.🎯"
262,ksenia_friiasva,"🌍Путешественница
🧜🏻‍♀️Фридайвер
🎨Фото-арт-терапевт
🌷Арома-эксперт
🧏🏼‍♀️Психолог"
263,chinanarj,
264,tuhvatullina_olga,
265,elenachudesnikova,"Влюблена в🏔️
Влюблю и вас
Создам Ваш праздник с душой
Проведу в мир Байкала🌊
Инструктор🏞️
Игры в Сторис
#стихи_чудесникова
#легенды_чудесникова"
266,lyudmila_sibwel,"Людмила 
🚶‍♀️ Говорю СТОП старости 
💃 Помогу быть здоровым и энергичным 
Составлю программу по очищению, оздоровлению организма 
 
 ⤵️
 ЖМИ"
267,la.crisramirez,"R U S S I A🇷🇺
Vida en lo alto 💥"
